,code,name,category,title,subtitle
0,A1,Reaction Starts (Pure Start Speed),A,Reaction Starts,Pure Start Speed
1,A2,Falling / Push-Up / 3-Point Start (Projection Day),A,Falling / Push-Up / 3-Point Start,Projection Day
2,A3,Sled Contrast (Power Tool),A,Sled Contrast,Power Tool
3,A4,Wicket + Short Accel Blend (Skill + Accel),A,Wicket + Short Accel Blend,Skill + Accel
4,B1,Build-Up → Fly 10m (Speed Exposure),B,Build-Up → Fly 10m,Speed Exposure
5,B2,Fly 20m (True Upright Mechanics),B,Fly 20m,True Upright Mechanics
6,B3,Sprint → Float → Sprint (Elastic Control),B,Sprint → Float → Sprint,Elastic Control
7,B4,Wickets → Fly (Frequency + Rhythm Speed),B,Wickets → Fly,Frequency + Rhythm Speed
8,C1,Float Fly 150s (Tech+Endurance 60/40),C,Float Fly 150s,Tech+Endurance 60/40
9,C2,Fly 2×30m + Sled 2 (Speed Reserve Builder),C,Fly 2×30m + Sled 2,Speed Reserve Builder
10,C3,300m Rhythm Repeats (Lactate Rhythm 70/30),C,300m Rhythm Repeats,Lactate Rhythm 70/30
11,C4,Fast Finish 200s + 100s (Competition Endurance),C,Fast Finish 200s + 100s,Competition Endurance
12,D1,Track Tempo 100s (Classic Capacity Builder),D,Track Tempo 100s,Classic Capacity Builder
13,D2,Grass Strides (Joint-Friendly Tempo),D,Grass Strides,Joint-Friendly Tempo
14,D3,Row Engine (No-Impact Conditioning),D,Row Engine,No-Impact Conditioning
15,D4,Tempo + Drills Combo (Recovery Skill Day),D,Tempo + Drills Combo,Recovery Skill Day
16,E1,Posture Reset (Spine + Pelvis Control),E,Posture Reset,Spine + Pelvis Control
17,E2,Wall Drill Menu (Shin Angles + Timing),E,Wall Drill Menu,Shin Angles + Timing
18,E3,Rhythm + Coordination Circuit (Sprint Skill Builder),E,Rhythm + Coordination Circuit,Sprint Skill Builder
19,E4,Reaction + Mechanics (No Sprint Required),E,Reaction + Mechanics,No Sprint Required
20,F1,Lower Strength (Squat + Hinge + Unilateral),F,Lower Strength,Squat + Hinge + Unilateral
21,F2,Upper + Trunk Strength (Posture + Arm System),F,Upper + Trunk Strength,Posture + Arm System
22,F3,Athletic Strength (Total Body + Sprint Transfer),F,Athletic Strength,Total Body + Sprint Transfer
23,F4,Tweaks Strength Day (F45-Compatible),F,Tweaks Strength Day,F45-Compatible
24,G1,Med Ball Power Session (Low Impact Explosion),G,Med Ball Power Session,Low Impact Explosion
25,G2,Jump + Elastic Session (Bounce + Stiffness),G,Jump + Elastic Session,Bounce + Stiffness
26,G3,Light Olympic Derivatives (Power Mechanics),G,Light Olympic Derivatives,Power Mechanics
27,R1,Full PT Reset (Shoulders + Hips + Trunk),R,Full PT Reset,Shoulders + Hips + Trunk
28,R2,Lower Body Recovery (Knee Efficiency + Mobility),R,Lower Body Recovery,Knee Efficiency + Mobility
29,R3,Nervous System Reset (Recovery Tools Day),R,Nervous System Reset,Recovery Tools Day
30,R4,PT Microdose (Daily Maintenance),R,PT Microdose,Daily Maintenance
